iter	Passed	Remaining
637	2340	1328
638	2344	1324
639	2347	1320
640	2351	1316
641	2355	1313
642	2357	1308
643	2360	1305
644	2364	1301
645	2367	1297
646	2370	1293
647	2373	1289
648	2377	1285
649	2380	1281
650	2383	1277
651	2387	1274
652	2391	1270
653	2394	1266
654	2398	1263
655	2402	1259
656	2405	1255
657	2409	1252
658	2412	1248
659	2416	1244
660	2419	1241
661	2423	1237
662	2426	1233
663	2429	1229
664	2433	1225
665	2436	1221
666	2440	1218
667	2443	1214
668	2446	1210
669	2450	1206
670	2453	1202
671	2456	1199
672	2460	1195
673	2463	1191
674	2466	1187
675	2470	1183
676	2473	1180
677	2476	1176
678	2480	1172
679	2484	1169
680	2487	1165
681	2491	1161
682	2495	1158
683	2498	1154
684	2502	1150
685	2506	1147
686	2509	1143
687	2512	1139
688	2515	1135
689	2519	1131
690	2522	1127
691	2525	1124
692	2528	1120
693	2532	1116
694	2535	1112
695	2538	1108
696	2541	1105
697	2545	1101
698	2548	1097
699	2552	1093
700	2555	1090
701	2559	1086
702	2562	1082
703	2566	1079
704	2569	1075
705	2573	1071
706	2576	1067
707	2579	1064
708	2582	1060
709	2586	1056
710	2590	1052
711	2593	1049
712	2597	1045
713	2600	1041
714	2604	1037
715	2607	1034
716	2610	1030
717	2614	1026
718	2618	1023
719	2621	1019
720	2625	1015
721	2629	1012
722	2632	1008
723	2636	1005
724	2640	1001
725	2643	997
726	2646	993
727	2650	990
728	2652	986
729	2655	982
730	2659	978
731	2662	974
732	2666	971
733	2670	967
734	2673	963
735	2677	960
736	2680	956
737	2684	953
738	2687	949
739	2691	945
740	2694	941
741	2698	938
742	2702	934
743	2705	930
744	2708	927
745	2712	923
746	2715	919
747	2718	915
748	2721	912
749	2724	908
750	2726	903
751	2729	900
752	2732	896
753	2735	892
754	2739	888
755	2742	885
756	2745	881
757	2749	877
758	2752	874
759	2756	870
760	2760	866
761	2763	863
762	2766	859
763	2770	855
764	2773	852
765	2777	848
766	2780	844
767	2821	852
768	2832	850
769	2866	856
770	2872	853
771	2878	850
772	2887	847
773	2900	847
774	2904	843
775	2907	839
776	2911	835
777	2916	832
778	2923	829
779	2929	826
780	2936	823
781	2942	820
782	2945	816
783	2949	812
784	2952	808
785	2955	804
786	2958	800
787	2962	796
788	2965	793
789	2968	789
790	2971	785
791	2975	781
792	2978	777
793	2981	773
794	2985	769
795	2988	765
796	2992	762
797	2995	758
798	2998	754
799	3002	750
800	3006	746
801	3009	743
802	3012	739
803	3017	735
804	3020	731
805	3024	727
806	3027	724
807	3031	720
808	3034	716
809	3038	712
810	3041	708
811	3044	704
812	3047	701
813	3051	697
814	3055	693
815	3058	689
816	3062	685
817	3066	682
818	3069	678
819	3073	674
820	3076	670
821	3079	666
822	3082	663
823	3086	659
824	3089	655
825	3092	651
826	3096	647
827	3099	643
828	3103	640
829	3106	636
830	3110	632
831	3113	628
832	3117	624
833	3120	621
834	3124	617
835	3127	613
836	3130	609
837	3134	605
838	3137	602
839	3140	598
840	3143	594
841	3146	590
842	3150	586
843	3153	582
844	3157	579
845	3160	575
846	3164	571
847	3167	567
848	3171	564
849	3174	560
850	3178	556
851	3181	552
852	3185	548
853	3188	545
854	3191	541
855	3195	537
856	3198	533
857	3202	529
858	3205	526
859	3208	522
860	3212	518
861	3215	514
862	3219	511
863	3222	507
864	3226	503
865	3229	499
866	3232	495
867	3235	492
868	3239	488
869	3242	484
870	3246	480
871	3249	476
872	3252	473
873	3255	469
874	3259	465
875	3263	461
876	3266	458
877	3270	454
878	3273	450
879	3277	446
880	3280	443
881	3284	439
882	3287	435
883	3291	431
884	3295	428
885	3298	424
886	3301	420
887	3305	416
888	3308	413
889	3311	409
890	3313	405
891	3316	401
892	3319	397
893	3322	393
894	3325	390
895	3328	386
896	3331	382
897	3335	378
898	3338	375
899	3340	371
900	3344	367
901	3347	363
902	3349	359
903	3353	356
904	3355	352
905	3358	348
906	3360	344
907	3363	340
908	3366	336
909	3369	333
910	3372	329
911	3374	325
912	3376	321
913	3379	318
914	3381	314
915	3384	310
916	3387	306
917	3390	302
918	3393	299
919	3395	295
920	3397	291
921	3400	287
922	3402	283
923	3406	280
924	3410	276
925	3413	272
926	3416	269
927	3419	265
928	3423	261
929	3426	257
930	3430	254
931	3434	250
932	3437	246
933	3440	243
934	3443	239
935	3447	235
936	3450	232
937	3454	228
938	3458	224
939	3462	220
940	3465	217
941	3469	213
942	3472	209
943	3476	206
944	3480	202
945	3484	198
946	3488	195
947	3491	191
948	3495	187
949	3499	184
950	3502	180
951	3505	176
952	3509	173
953	3512	169
954	3515	165
955	3519	161
956	3523	158
957	3526	154
958	3530	150
959	3534	147
960	3537	143
961	3541	139
962	3544	136
963	3547	132
964	3550	128
965	3554	125
966	3557	121
967	3561	117
968	3564	114
969	3568	110
970	3571	106
971	3575	102
972	3578	99
973	3581	95
974	3585	91
975	3588	88
976	3591	84
977	3595	80
978	3598	77
979	3601	73
980	3605	69
981	3609	66
982	3612	62
983	3615	58
984	3620	55
985	3623	51
986	3627	47
987	3629	44
988	3633	40
989	3636	36
990	3640	33
991	3643	29
992	3647	25
993	3650	22
994	3654	18
995	3657	14
996	3660	11
997	3664	7
998	3668	3
999	3672	0
